top_20_airports_arrivals = ["ATL","BOS","CLT","DCA","DEN","DFW","DTW","EWR","IAH","JFK","LAS","LAX","LGA","MCO","MSP","ORD","PHX","SEA","SFO","SLC","TPA"]
ATL 33.63791934485336 -84.42951016148812
BOS 42.36947742474649 -71.00908116584193
CLT 35.21545054758899 -80.95030329602952
DCA 38.85430947614793 -77.04091895405564
DEN 39.857395517812286 -104.67589191422165
DFW 32.898333955362155 -97.0402940896809
DTW 42.215882833178995 -83.35145320502325
EWR 40.69017488963961 -74.17343322141058
IAH 29.994437440381592 -95.34420130868541
JFK 40.64591967286127 -73.78021927414223
LAS 36.083929929432585 -115.14408326299284
LAX 33.946204238790855 -118.40944777798545
LGA 40.778479660727896 -73.8748249954665
MCO 28.43325148077834 -81.30773333877629
MSP 44.88675146283367 -93.21295228178649
ORD 41.98112709187046 -87.90847039165033
PHX 33.43710445921055 -112.00960987565597
SEA 47.44861909462352 -122.30930005825121
SFO 37.62119946891901 -122.38212660498004
SLC 40.78956545461197 -111.98605803399404
TPA 27.978635856108006 -82.53137563300005
